id_visitante,pais_origen,edad,genero,destino,region,fecha_visita,dias_estadia,gasto_total,medio_transporte
V0025,EE.UU.,40,M,Monasterio de Santa Catalina,Arequipa,2025-10-01,14,946.51,nan
V0026,Perú,44,M,Líneas de Nazca,Ica,2025-04-28,7,1452.58,Avión
V0027,Colombia,32,M,Plaza de Armas,Arequipa,2025-06-13,4,1294.77,Tren
V0028,Perú,65,M,Lago Titicaca,Puno,2024-10-11,1,1726.34,Tren
V0029,Perú,68,M,Plaza de Armas,Arequipa,2024-11-28,11,2667.45,Tren
V0030,España,25,M,Sillustani,Puno,2025-08-22,6,3108.16,Avión
V0031,Chile,41,M,Monasterio de Santa Catalina,Arequipa,2023-08-03,4,511.4,Avión
V0032,Chile,31,F,Montaña 7 Colores,Cusco,2024-12-31,6,3148.68,Avión
V0033,Perú,20,F,Machu Picchu,Cusco,2025-01-05,8,988.51,nan
V0034,México,38,F,Islas Ballestas,Ica,2023-06-20,6,2608.5,nan
V0035,Alemania,52,M,Miraflores,Lima,2024-06-08,15,4414.47,Avión
V0036,Colombia,29,F,Miraflores,Lima,2024-05-29,11,777.81,Avión
V0037,Francia,31,M,Montaña 7 Colores,Cusco,2024-12-18,6,761.74,Avión
V0038,Francia,69,F,Montaña 7 Colores,Cusco,2025-07-03,3,3569.04,Avión
V0039,Francia,50,F,Huacachina,Ica,2023-04-26,8,2885.82,Auto
V0040,Perú,47,F,Líneas de Nazca,Ica,2025-05-12,3,1492.54,Avión
V0041,EE.UU.,23,F,Lago Titicaca,Puno,2025-06-13,4,2095.32,Auto
V0042,EE.UU.,27,M,Sillustani,Puno,2023-05-27,12,1092.14,Tren
V0043,EE.UU.,45,F,Cañón del Colca,Arequipa,2025-06-17,11,754.97,Tren
V0044,Perú,67,F,Lago Titicaca,Puno,2023-12-05,3,1877.79,Auto
V0045,Chile,63,M,Valle Sagrado,Cusco,2023-12-06,3,1472.04,Avión
V0046,Chile,61,M,Huacachina,Ica,2023-04-28,6,833.71,Avión
V0047,EE.UU.,23,M,Lago Titicaca,Puno,2023-12-22,15,3986.38,Auto
V0048,EE.UU.,23,M,Montaña 7 Colores,Cusco,2024-07-31,2,1746.94,Tren
V0049,Brasil,65,F,Montaña 7 Colores,Cusco,2025-06-16,15,948.53,Auto
V0050,EE.UU.,64,F,Plaza de Armas,Arequipa,2025-04-18,2,716.38,Bus
V0051,Perú,56,M,Monasterio de Santa Catalina,Arequipa,2024-07-16,1,1780.69,Tren
V0052,Colombia,61,F,Miraflores,Lima,2024-02-12,10,999.71,Tren
V0053,México,45,M,Centro Histórico,Lima,2023-05-02,5,2164.75,Tren
V0054,EE.UU.,27,M,Islas Ballestas,Ica,2024-12-14,2,2743.08,Bus
V0055,Brasil,54,M,Valle Sagrado,Cusco,2024-05-07,3,478.44,Auto
V0056,Perú,24,M,Barranco,Lima,2023-05-11,10,1379.13,Tren
V0057,EE.UU.,48,M,Centro Histórico,Lima,2025-05-30,9,3311.0,Tren
V0058,España,59,M,Plaza de Armas,Arequipa,2024-05-18,5,507.62,Auto
V0059,Perú,53,F,Huacachina,Ica,2023-02-01,11,1420.59,Bus
V0060,España,68,M,Valle Sagrado,Cusco,2025-08-20,7,361.07,Bus
V0061,Chile,41,F,Islas Uros,Puno,2024-11-06,8,1537.22,Bus
V0062,España,35,M,Monasterio de Santa Catalina,Arequipa,2025-01-14,1,2038.4,nan
V0063,España,33,F,Lago Titicaca,Puno,2024-01-26,14,2785.55,Tren
V0064,EE.UU.,29,F,Montaña 7 Colores,Cusco,2023-12-21,15,319.89,nan
V0065,EE.UU.,36,M,Barranco,Lima,2025-01-08,4,2977.78,Tren
V0066,Perú,59,F,Centro Histórico,Lima,2025-05-06,10,1007.09,Tren
V0067,Perú,37,M,Islas Uros,Puno,2023-10-10,1,673.34,Auto
V0068,México,19,F,Cañón del Colca,Arequipa,2025-07-30,5,843.02,Avión
V0069,Alemania,49,M,Miraflores,Lima,2025-02-23,10,2718.01,nan
V0070,Perú,67,M,Barranco,Lima,2024-12-12,10,260.54,Avión
V0071,Perú,70,F,Valle Sagrado,Cusco,2025-09-26,3,957.14,Avión
V0072,Perú,30,F,Plaza de Armas,Arequipa,2023-02-17,4,2449.56,Tren
V0073,España,56,M,Islas Uros,Puno,2023-12-11,1,2419.53,nan
V0074,EE.UU.,27,M,Miraflores,Lima,2023-09-18,3,1862.33,Auto
V0075,Chile,32,F,Líneas de Nazca,Ica,2023-06-16,8,4379.14,Bus
V0076,España,54,F,Montaña 7 Colores,Cusco,2024-03-07,6,3297.2,Tren
V0077,Brasil,19,F,Sillustani,Puno,2024-01-09,14,1611.58,Tren
V0078,Colombia,48,F,Cañón del Colca,Arequipa,2024-12-04,7,4287.99,Avión
V0079,Chile,48,F,Cañón del Colca,Arequipa,2024-06-13,5,711.88,Auto
V0080,Perú,48,M,Miraflores,Lima,2023-09-08,8,1292.02,nan
V0081,España,44,F,Machu Picchu,Cusco,2024-10-25,1,2983.12,Tren
V0082,Perú,54,M,Montaña 7 Colores,Cusco,2023-11-07,14,1491.31,nan
V0083,México,46,F,Islas Ballestas,Ica,2024-07-28,4,2929.73,Auto
V0084,Colombia,65,M,Islas Uros,Puno,2024-12-12,12,2634.98,Avión
V0085,Francia,25,F,Cañón del Colca,Arequipa,2025-08-06,3,1636.0,Auto
V0086,España,41,F,Valle Sagrado,Cusco,2023-02-06,14,2544.4,nan
V0087,EE.UU.,44,M,Plaza de Armas,Arequipa,2024-03-27,2,3987.6,Auto
V0088,Argentina,23,F,Centro Histórico,Lima,2023-04-11,12,2971.06,nan
V0089,Francia,23,F,Lago Titicaca,Puno,2023-07-16,10,2641.51,nan
V0090,EE.UU.,45,F,Lago Titicaca,Puno,2025-01-08,1,3859.02,Tren
V0091,EE.UU.,35,F,Islas Ballestas,Ica,2025-09-17,8,4160.54,Auto
V0092,Colombia,58,F,Monasterio de Santa Catalina,Arequipa,2024-11-19,6,1781.65,nan
V0093,Perú,47,M,Lago Titicaca,Puno,2023-02-06,8,1866.01,Tren
V0094,EE.UU.,50,M,Huacachina,Ica,2024-10-12,14,1814.8,Avión
V0095,Perú,36,F,Barranco,Lima,2023-03-20,1,1860.07,nan
V0096,EE.UU.,36,M,Sillustani,Puno,2025-07-27,5,1082.92,Bus
V0097,Perú,36,F,Huacachina,Ica,2025-07-04,3,1585.27,Tren
V0098,Argentina,31,M,Lago Titicaca,Puno,2023-05-07,2,4157.6,Auto
V0099,EE.UU.,51,M,Cañón del Colca,Arequipa,2024-03-28,6,2097.55,Auto
V0100,Argentina,69,M,Huacachina,Ica,2025-06-23,12,3864.94,Bus
V0101,Brasil,31,M,Islas Ballestas,Ica,2024-03-10,9,2506.87,Bus
V0102,Perú,32,F,Valle Sagrado,Cusco,2023-10-02,10,2562.53,Avión
V0103,Perú,19,M,Islas Ballestas,Ica,2025-03-30,8,2327.04,Bus
V0104,EE.UU.,57,M,Centro Histórico,Lima,2023-11-06,11,2095.2,nan
V0105,México,24,M,Monasterio de Santa Catalina,Arequipa,2024-02-17,8,596.08,Auto
V0106,Francia,52,M,Lago Titicaca,Puno,2023-05-04,1,2818.09,Bus
V0107,Perú,52,M,Miraflores,Lima,2023-02-14,3,2470.78,Avión
V0108,Perú,47,M,Barranco,Lima,2025-08-03,8,470.97,Bus
V0109,Perú,61,M,Islas Ballestas,Ica,2023-06-12,6,1324.15,Bus
V0110,Colombia,49,M,Montaña 7 Colores,Cusco,2023-10-03,4,1331.36,Avión
V0111,Chile,31,M,Barranco,Lima,2025-04-09,9,453.68,Tren
V0112,Perú,62,F,Islas Ballestas,Ica,2023-12-22,15,1796.58,Bus
V0113,Chile,41,F,Islas Uros,Puno,2024-01-07,13,1073.17,Tren
V0114,Perú,20,M,Islas Ballestas,Ica,2024-07-23,3,995.13,Bus
V0115,Perú,46,M,Monasterio de Santa Catalina,Arequipa,2024-07-21,11,2348.68,Tren
V0116,Perú,18,M,Miraflores,Lima,2023-06-23,10,438.53,Auto
V0117,Argentina,62,M,Islas Uros,Puno,2024-04-20,7,3357.23,nan
V0118,México,52,M,Miraflores,Lima,2023-02-09,8,4289.02,Tren
V0119,México,31,F,Sillustani,Puno,2023-07-16,12,2952.47,nan
V0120,Perú,66,F,Huacachina,Ica,2023-07-10,3,849.64,Bus
V0121,EE.UU.,68,M,Líneas de Nazca,Ica,2024-07-07,7,2118.39,Avión
V0122,Perú,50,M,Lago Titicaca,Puno,2023-07-31,1,2947.3,nan
V0123,Perú,44,M,Sillustani,Puno,2025-08-28,7,513.18,Avión
V0124,Perú,29,F,Barranco,Lima,2024-10-14,8,1575.1,nan
V0125,España,46,M,Líneas de Nazca,Ica,2023-08-30,2,794.46,nan
V0126,Colombia,26,M,Valle Sagrado,Cusco,2024-01-07,13,3465.71,Avión
V0127,México,46,M,Monasterio de Santa Catalina,Arequipa,2024-05-14,12,3918.4,Avión
V0128,EE.UU.,28,F,Monasterio de Santa Catalina,Arequipa,2023-07-26,12,1430.37,nan
V0129,España,64,M,Líneas de Nazca,Ica,2025-03-04,15,1543.3,Auto
V0130,Perú,51,F,Lago Titicaca,Puno,2023-10-09,1,1813.16,Tren
V0131,Perú,24,M,Cañón del Colca,Arequipa,2025-01-31,11,1740.92,Tren
V0132,Perú,31,M,Barranco,Lima,2025-08-10,10,2136.12,Avión
V0133,Colombia,39,M,Cañón del Colca,Arequipa,2024-03-05,11,696.62,Tren
V0134,España,29,M,Centro Histórico,Lima,2023-09-05,9,3185.61,Bus
V0135,México,32,M,Centro Histórico,Lima,2024-09-16,13,2775.93,Auto
V0136,Perú,31,F,Valle Sagrado,Cusco,2025-03-19,2,402.96,Avión
V0137,Chile,56,M,Islas Uros,Puno,2024-04-24,14,386.86,Bus
V0138,Francia,51,F,Barranco,Lima,2024-03-25,14,4332.62,nan
V0139,Chile,25,F,Huacachina,Ica,2024-10-29,4,1777.57,Auto
V0140,Perú,45,F,Islas Ballestas,Ica,2023-01-05,3,1950.27,nan
V0141,España,18,F,Lago Titicaca,Puno,2025-06-04,9,766.54,Avión
V0142,España,48,M,Machu Picchu,Cusco,2025-05-28,3,2526.31,Tren
V0143,España,57,M,Valle Sagrado,Cusco,2023-03-29,13,1871.02,Bus
V0144,España,42,F,Montaña 7 Colores,Cusco,2023-01-23,6,658.33,Bus
V0145,Perú,52,M,Miraflores,Lima,2024-01-29,5,274.42,Avión
V0146,Perú,60,F,Valle Sagrado,Cusco,2023-10-14,15,2003.81,Auto
V0147,Alemania,45,M,Barranco,Lima,2024-09-11,2,596.89,nan
V0148,EE.UU.,39,F,Miraflores,Lima,2023-01-26,1,821.93,Auto
V0149,Chile,62,M,Sillustani,Puno,2023-11-21,14,1511.07,Bus
V0150,México,39,F,Sillustani,Puno,2024-08-19,14,4427.58,Auto
V0151,Colombia,26,M,Centro Histórico,Lima,2024-01-24,6,4090.21,nan
V0152,Perú,34,F,Plaza de Armas,Arequipa,2023-11-17,8,597.87,nan
V0153,Perú,20,F,Valle Sagrado,Cusco,2024-02-05,9,2623.3,nan
V0154,Perú,22,M,Plaza de Armas,Arequipa,2024-12-24,10,978.92,Avión
V0155,Perú,38,M,Islas Uros,Puno,2024-12-20,2,753.83,Tren
V0156,Perú,57,F,Sillustani,Puno,2023-11-26,10,1972.06,Bus
V0157,Brasil,40,F,Barranco,Lima,2024-07-17,6,2988.45,Auto
V0158,EE.UU.,51,M,Huacachina,Ica,2025-03-14,1,3285.15,Tren
V0159,México,51,M,Valle Sagrado,Cusco,2023-02-17,10,1360.35,Tren
V0160,Francia,64,F,Machu Picchu,Cusco,2024-09-30,10,393.58,Bus
V0161,Perú,57,F,Monasterio de Santa Catalina,Arequipa,2025-03-10,4,1103.11,Tren
V0162,Alemania,35,F,Sillustani,Puno,2024-03-16,3,3526.3,Avión
V0163,Perú,57,F,Miraflores,Lima,2024-07-06,11,1390.25,Tren
V0164,Perú,32,F,Cañón del Colca,Arequipa,2024-07-22,11,2856.63,Auto
V0165,Francia,18,F,Barranco,Lima,2023-08-15,2,4295.21,Auto
V0166,Colombia,66,M,Líneas de Nazca,Ica,2024-06-19,10,320.73,nan
V0167,Perú,42,F,Islas Ballestas,Ica,2023-08-01,7,2525.47,Avión
V0168,Perú,61,F,Monasterio de Santa Catalina,Arequipa,2024-12-15,10,2766.26,Tren
V0169,Perú,63,M,Líneas de Nazca,Ica,2025-04-24,9,2573.33,Bus
V0170,Perú,40,M,Sillustani,Puno,2024-02-22,7,629.82,Bus
V0171,México,59,F,Sillustani,Puno,2023-06-02,10,3386.75,Tren
V0172,EE.UU.,65,M,Islas Ballestas,Ica,2025-03-17,2,1921.91,Tren
V0173,España,70,M,Valle Sagrado,Cusco,2024-01-12,15,1408.46,Tren
V0174,Brasil,18,M,Miraflores,Lima,2023-02-25,6,1484.34,Auto
V0175,Argentina,51,M,Huacachina,Ica,2023-10-22,13,3467.49,Tren
V0176,España,61,M,Miraflores,Lima,2025-02-12,10,2010.85,Bus
V0177,Perú,57,F,Lago Titicaca,Puno,2025-05-02,1,2238.36,Bus
V0178,Alemania,32,M,Plaza de Armas,Arequipa,2023-04-21,10,345.77,nan
V0179,EE.UU.,33,M,Lago Titicaca,Puno,2025-06-19,6,2884.22,Tren
V0180,Brasil,41,M,Montaña 7 Colores,Cusco,2025-02-19,4,642.97,Avión
V0181,Perú,44,F,Líneas de Nazca,Ica,2023-06-28,7,1170.28,Bus
V0182,Perú,56,M,Monasterio de Santa Catalina,Arequipa,2023-05-29,2,1189.41,nan
V0183,EE.UU.,26,F,Islas Ballestas,Ica,2025-01-05,1,4258.14,Bus
V0184,Brasil,37,F,Islas Uros,Puno,2023-12-30,14,1815.65,nan
V0185,Perú,61,M,Islas Uros,Puno,2023-04-21,9,2963.48,Bus
V0186,Argentina,26,M,Islas Uros,Puno,2024-08-30,9,1679.04,Tren
V0187,Perú,32,M,Machu Picchu,Cusco,2025-06-10,3,1845.08,nan
V0188,Colombia,39,M,Islas Uros,Puno,2025-03-05,8,3333.47,nan
V0189,México,40,M,Barranco,Lima,2024-09-07,14,2486.66,Tren
V0190,Perú,66,M,Sillustani,Puno,2023-07-16,3,436.44,Bus
V0191,Argentina,47,M,Machu Picchu,Cusco,2025-08-10,7,3679.29,nan
V0192,Argentina,56,F,Plaza de Armas,Arequipa,2025-08-21,10,2668.57,Avión
V0193,España,37,F,Valle Sagrado,Cusco,2023-04-10,14,3540.41,Tren
V0194,Perú,38,F,Sillustani,Puno,2023-02-12,1,444.94,Auto
V0195,Argentina,67,F,Plaza de Armas,Arequipa,2024-05-28,6,4357.03,Tren
V0196,México,67,M,Cañón del Colca,Arequipa,2023-04-03,13,3759.67,Avión
V0197,Perú,55,F,Islas Ballestas,Ica,2025-09-11,13,2874.54,Auto
V0198,Perú,48,M,Islas Ballestas,Ica,2023-02-25,15,2546.51,Bus
V0199,EE.UU.,22,F,Monasterio de Santa Catalina,Arequipa,2024-12-21,4,2096.3,Avión
V0200,Perú,47,F,Cañón del Colca,Arequipa,2024-02-17,3,2313.1,nan
V0201,Perú,25,M,Barranco,Lima,2025-02-12,15,587.06,nan
V0202,Brasil,58,M,Barranco,Lima,2025-09-26,9,686.55,Bus
V0203,EE.UU.,35,M,Valle Sagrado,Cusco,2023-12-28,5,2906.44,Auto
V0204,Perú,52,F,Miraflores,Lima,2023-06-02,14,2797.74,Avión
V0205,Perú,50,M,Islas Uros,Puno,2024-10-21,7,991.77,Avión
V0206,Francia,42,F,Miraflores,Lima,2023-10-04,3,305.05,nan
V0207,Perú,32,F,Cañón del Colca,Arequipa,2024-01-22,7,1420.93,Avión
V0208,Perú,60,F,Montaña 7 Colores,Cusco,2023-03-19,11,2941.68,Avión
V0209,Perú,49,F,Lago Titicaca,Puno,2023-09-23,6,2896.99,nan
V0210,España,49,F,Montaña 7 Colores,Cusco,2025-09-17,6,1000.82,nan
V0211,Chile,19,M,Cañón del Colca,Arequipa,2024-08-16,11,1510.8,Avión
V0212,Perú,68,F,Islas Ballestas,Ica,2023-05-19,7,2668.67,Avión
V0213,Perú,22,M,Islas Uros,Puno,2024-08-21,15,1372.6,Auto
V0214,EE.UU.,44,F,Huacachina,Ica,2025-04-11,4,4174.25,Tren
V0215,España,23,F,Valle Sagrado,Cusco,2024-06-21,6,2701.75,Tren
V0216,Perú,36,F,Líneas de Nazca,Ica,2024-06-14,8,667.34,Tren
V0217,Perú,67,F,Centro Histórico,Lima,2025-06-18,10,1373.6,nan
V0218,Colombia,27,M,Montaña 7 Colores,Cusco,2024-10-03,9,4208.12,Avión
V0219,Perú,63,M,Islas Ballestas,Ica,2023-11-05,10,890.14,Avión
V0220,Francia,21,M,Valle Sagrado,Cusco,2024-03-12,6,2032.22,Auto
V0221,Perú,53,F,Monasterio de Santa Catalina,Arequipa,2025-08-28,8,1712.86,Avión
V0222,Perú,41,M,Miraflores,Lima,2024-12-24,12,598.95,Avión
V0223,Perú,18,M,Plaza de Armas,Arequipa,2023-10-26,9,2849.31,Bus
V0224,Perú,21,F,Montaña 7 Colores,Cusco,2023-04-27,3,347.72,nan
V0225,Colombia,45,F,Machu Picchu,Cusco,2023-09-24,14,1953.34,Auto
V0226,Argentina,20,M,Cañón del Colca,Arequipa,2025-01-28,7,2928.01,Bus
V0227,España,65,F,Barranco,Lima,2023-02-23,7,4152.06,Bus
V0228,Perú,64,F,Montaña 7 Colores,Cusco,2023-03-25,15,2053.73,Auto
V0229,Chile,30,M,Sillustani,Puno,2024-05-03,7,1365.42,Tren
V0230,Perú,44,M,Machu Picchu,Cusco,2023-11-06,5,763.79,Auto
V0231,Chile,33,F,Plaza de Armas,Arequipa,2025-02-01,10,3043.55,Tren
V0232,Alemania,37,M,Barranco,Lima,2024-02-28,1,4019.1,Auto
V0233,Brasil,50,M,Líneas de Nazca,Ica,2025-08-08,1,2106.34,nan
V0234,Perú,64,M,Cañón del Colca,Arequipa,2025-05-25,12,1037.69,Bus
V0235,Perú,33,F,Miraflores,Lima,2024-01-12,10,2621.08,Auto
V0236,Perú,62,M,Centro Histórico,Lima,2024-06-25,3,1164.58,nan
V0237,España,42,M,Machu Picchu,Cusco,2023-07-11,10,3961.44,Auto
V0238,Perú,37,M,Centro Histórico,Lima,2024-01-19,8,1036.86,Tren
V0239,Perú,31,F,Monasterio de Santa Catalina,Arequipa,2025-07-10,10,685.51,Tren
V0240,Colombia,24,M,Plaza de Armas,Arequipa,2024-08-24,4,3335.75,Auto
V0241,Perú,33,F,Barranco,Lima,2023-08-06,5,1840.55,Bus
V0242,Perú,49,M,Lago Titicaca,Puno,2023-03-24,8,1894.85,Tren
V0243,EE.UU.,51,M,Huacachina,Ica,2024-07-10,2,2549.0,nan
V0244,Perú,27,M,Lago Titicaca,Puno,2023-08-21,13,1847.05,Bus
V0245,EE.UU.,29,F,Lago Titicaca,Puno,2023-04-01,13,2235.22,nan
V0246,Perú,52,M,Centro Histórico,Lima,2025-09-19,6,1187.12,Tren
V0247,Perú,66,F,Monasterio de Santa Catalina,Arequipa,2023-09-03,10,1958.55,Tren
V0248,Perú,52,M,Islas Uros,Puno,2025-01-10,7,1566.92,Avión
V0249,México,70,F,Islas Uros,Puno,2024-04-30,10,439.52,Bus
V0250,Colombia,27,F,Líneas de Nazca,Ica,2023-07-17,7,1593.69,Tren
V0251,Perú,47,F,Cañón del Colca,Arequipa,2024-01-07,1,1332.68,Bus
V0252,Colombia,62,M,Miraflores,Lima,2024-08-12,9,3670.68,Avión
V0253,Perú,49,M,Islas Ballestas,Ica,2025-05-19,9,1082.94,Bus
V0254,Brasil,51,M,Barranco,Lima,2025-05-18,5,1895.51,nan
V0255,Brasil,67,M,Líneas de Nazca,Ica,2023-08-05,6,1062.84,Tren
V0256,EE.UU.,66,F,Monasterio de Santa Catalina,Arequipa,2023-03-18,4,964.27,Auto
V0257,EE.UU.,65,F,Sillustani,Puno,2023-04-24,9,3941.96,Bus
V0258,Chile,48,M,Islas Uros,Puno,2024-02-25,15,2243.48,Bus
V0259,EE.UU.,59,F,Lago Titicaca,Puno,2024-09-25,15,2491.35,nan
V0260,Perú,39,F,Cañón del Colca,Arequipa,2023-09-24,13,1114.49,Bus
V0261,Perú,23,F,Huacachina,Ica,2024-09-01,15,1133.83,Tren
V0262,España,28,F,Machu Picchu,Cusco,2024-04-07,14,1642.0,Tren
V0263,Perú,65,M,Miraflores,Lima,2023-06-29,13,395.49,Bus
V0264,Chile,56,M,Machu Picchu,Cusco,2024-11-29,6,3536.76,Avión
V0265,EE.UU.,70,F,Islas Ballestas,Ica,2023-08-15,13,4206.97,Avión
V0266,Perú,43,M,Montaña 7 Colores,Cusco,2024-08-26,13,1461.38,nan
V0267,España,68,M,Monasterio de Santa Catalina,Arequipa,2023-11-21,9,2187.09,Bus
V0268,Chile,55,M,Machu Picchu,Cusco,2024-05-21,14,2882.09,Avión
V0269,España,21,M,Lago Titicaca,Puno,2025-07-01,15,1170.52,Tren
V0270,España,28,M,Barranco,Lima,2024-12-26,7,997.38,Bus
V0271,México,63,F,Cañón del Colca,Arequipa,2023-05-08,14,332.5,Auto
V0272,Perú,59,F,Monasterio de Santa Catalina,Arequipa,2023-12-15,10,1075.23,nan
V0273,Perú,44,F,Monasterio de Santa Catalina,Arequipa,2023-10-27,12,1713.6,Tren
V0274,Perú,58,F,Islas Uros,Puno,2023-05-31,12,2726.76,Bus
V0275,México,69,F,Cañón del Colca,Arequipa,2023-11-26,6,2585.79,Avión
V0276,Colombia,56,M,Cañón del Colca,Arequipa,2023-01-14,6,3837.78,Avión
V0277,Perú,56,M,Cañón del Colca,Arequipa,2024-07-22,15,1345.51,Avión
V0278,México,54,M,Huacachina,Ica,2023-01-20,5,3310.73,nan
V0279,Perú,69,M,Líneas de Nazca,Ica,2025-08-02,12,590.54,Bus
V0280,EE.UU.,25,M,Sillustani,Puno,2023-04-17,14,4102.18,Auto
V0281,Perú,62,M,Plaza de Armas,Arequipa,2023-06-30,5,1342.75,nan
V0282,Perú,20,M,Sillustani,Puno,2025-04-07,3,1533.84,Tren
V0283,Chile,66,F,Monasterio de Santa Catalina,Arequipa,2023-08-24,6,4037.6,nan
V0284,Perú,23,M,Centro Histórico,Lima,2024-07-22,12,2922.84,Tren
V0285,Perú,51,M,Valle Sagrado,Cusco,2024-05-29,10,1776.76,Tren
V0286,EE.UU.,61,F,Barranco,Lima,2023-10-22,12,493.54,nan
V0287,España,37,M,Islas Uros,Puno,2024-01-22,13,3428.71,Avión
V0288,España,18,M,Centro Histórico,Lima,2025-07-14,2,3256.23,Auto
V0289,México,51,M,Monasterio de Santa Catalina,Arequipa,2024-07-31,11,4032.16,Bus
V0290,Perú,28,M,Lago Titicaca,Puno,2023-08-14,9,2089.17,Avión
V0291,EE.UU.,28,M,Cañón del Colca,Arequipa,2024-07-15,9,3311.17,nan
V0292,España,60,F,Miraflores,Lima,2023-02-24,13,939.63,Avión
V0293,Perú,62,F,Islas Uros,Puno,2025-02-04,2,2160.6,Avión
V0294,México,43,M,Montaña 7 Colores,Cusco,2023-08-15,10,1860.78,Bus
V0295,España,68,M,Barranco,Lima,2024-09-18,13,2897.44,Bus
V0296,Perú,22,M,Líneas de Nazca,Ica,2024-11-15,6,1687.62,Auto
V0297,EE.UU.,62,F,Islas Uros,Puno,2024-01-23,6,3643.87,Tren
V0298,Chile,43,F,Islas Uros,Puno,2024-05-24,2,2725.89,Avión
V0299,Chile,25,M,Miraflores,Lima,2024-09-14,15,3216.36,Tren
V0300,Perú,18,M,Huacachina,Ica,2025-07-22,9,427.11,nan
V0301,México,34,M,Valle Sagrado,Cusco,2023-10-29,5,795.88,Tren
V0302,Argentina,25,M,Monasterio de Santa Catalina,Arequipa,2023-02-02,15,1768.6,nan
V0303,España,32,F,Sillustani,Puno,2025-05-13,2,3653.21,Tren
V0304,Perú,26,M,Monasterio de Santa Catalina,Arequipa,2025-08-03,11,1771.09,nan
V0305,México,31,M,Monasterio de Santa Catalina,Arequipa,2024-04-25,5,2228.11,nan
V0306,EE.UU.,26,M,Líneas de Nazca,Ica,2024-04-11,11,2539.36,Tren
V0307,Perú,51,M,Huacachina,Ica,2025-02-03,6,2990.65,Avión
V0308,España,34,F,Islas Ballestas,Ica,2025-05-19,6,2319.56,Tren
V0309,Argentina,44,M,Miraflores,Lima,2023-07-17,9,3136.54,Auto
V0310,Perú,62,F,Huacachina,Ica,2023-07-22,4,430.99,Bus
V0311,España,40,M,Montaña 7 Colores,Cusco,2024-02-27,3,2896.0,Tren
V0312,Perú,56,F,Valle Sagrado,Cusco,2024-04-24,8,1060.66,Tren
V0313,Perú,50,M,Centro Histórico,Lima,2025-05-22,12,1094.88,Auto
V0314,Perú,55,F,Huacachina,Ica,2025-08-11,5,2768.46,Avión
V0315,Perú,47,F,Valle Sagrado,Cusco,2025-09-09,6,1517.85,nan
V0316,Alemania,27,M,Lago Titicaca,Puno,2023-01-04,13,1182.59,nan
V0317,Perú,29,M,Sillustani,Puno,2025-06-09,9,2315.67,Auto
V0318,Colombia,31,M,Monasterio de Santa Catalina,Arequipa,2024-03-09,11,2699.62,nan
V0319,Perú,67,F,Lago Titicaca,Puno,2023-04-29,12,1448.04,Auto
V0320,Perú,47,F,Lago Titicaca,Puno,2024-04-06,10,2322.26,Tren
V0321,Perú,46,F,Machu Picchu,Cusco,2023-12-29,13,1698.93,Tren
V0322,Chile,59,F,Líneas de Nazca,Ica,2025-07-25,1,1651.46,nan
V0323,Perú,35,M,Líneas de Nazca,Ica,2023-02-21,8,761.9,Bus
V0324,Argentina,59,M,Huacachina,Ica,2025-02-15,14,4161.57,Tren
